# Type: scattered data
# Version: 8
# Description: Exported from grid SanEmidioTopo.2grd (Drew, 14 Nov 2013)
# Format: free
# Field: 1 x
# Field: 2 y
# Field: 3 z meters
# Field: 4 column integer
# Field: 5 row integer
# Projection: Universal Transverse Mercator
# Zone: 11
# Units: meters
# Ellipsoid: GRS 1980/NAD83
# Zdatum_above_MSL: 0.000000
# End:
# Information from grid:
# Grid_size: 183 x 207
# Grid_space: 287893.965000,306093.965000,4462214.681000,4482814.681000
# Scattered_data: SanE_DEM_pts.dat
# Z_field: GRID_CODE
# History: Calculated by ev_2grid with normal minimum tension algorithm.
# _History:  Multiple data point gridding level: 4
# _History:  Extrapolated. (Drew, 19 Feb 2013)
# History: Updated projection and/or units (Drew, 21 Feb 2013)
# History: Updated projection and/or units (Drew, 21 Feb 2013)
# History: Updated projection and/or units (Drew, 21 Feb 2013)
# History: Updated projection and/or units (Drew, 21 Feb 2013)
# Z_units: meters
287893.965 4462214.681 1575.09362793 1 1
287993.965 4462214.681 1543.825805664 2 1
288093.965 4462214.681 1508.829345703 3 1
288193.965 4462214.681 1496.511108398 4 1
288293.965 4462214.681 1521.885131836 5 1
288393.965 4462214.681 1547.976806641 6 1
288493.965 4462214.681 1553.960571289 7 1
288593.965 4462214.681 1507.296264648 8 1
288693.965 4462214.681 1462.29309082 9 1
288793.965 4462214.681 1432.692749023 10 1
288893.965 4462214.681 1426.564819336 11 1
288993.965 4462214.681 1417.436035156 12 1
289093.965 4462214.681 1420.408081055 13 1
289193.965 4462214.681 1417.439331055 14 1
289293.965 4462214.681 1418.079223633 15 1
289393.965 4462214.681 1417.994506836 16 1
289493.965 4462214.681 1413.853637695 17 1
289593.965 4462214.681 1417.134521484 18 1
289693.965 4462214.681 1424.689941406 19 1
289793.965 4462214.681 1431.058349609 20 1
289893.965 4462214.681 1434.244995117 21 1
289993.965 4462214.681 1439.829833984 22 1
290093.965 4462214.681 1442.279052734 23 1
290193.965 4462214.681 1444.876342773 24 1
290293.965 4462214.681 1465.234008789 25 1
290393.965 4462214.681 1495.69152832 26 1
290493.965 4462214.681 1517.022827148 27 1
290593.965 4462214.681 1559.802124023 28 1
290693.965 4462214.681 1531.745849609 29 1
290793.965 4462214.681 1530.797241211 30 1
290893.965 4462214.681 1580.650878906 31 1
290993.965 4462214.681 1641.427001953 32 1
291093.965 4462214.681 1695.685913086 33 1
291193.965 4462214.681 1718.730957031 34 1
291293.965 4462214.681 1760.630615234 35 1
291393.965 4462214.681 1759.988037109 36 1
291493.965 4462214.681 1736.597412109 37 1
291593.965 4462214.681 1701.65234375 38 1
291693.965 4462214.681 1644.161987305 39 1
291793.965 4462214.681 1599.821655273 40 1
291893.965 4462214.681 1575.029418945 41 1
291993.965 4462214.681 1553.019287109 42 1
292093.965 4462214.681 1524.536743164 43 1
292193.965 4462214.681 1501.029663086 44 1
292293.965 4462214.681 1475.981567383 45 1
292393.965 4462214.681 1452.955322266 46 1
292493.965 4462214.681 1429.333007812 47 1
292593.965 4462214.681 1420.217895508 48 1
292693.965 4462214.681 1407.054321289 49 1
292793.965 4462214.681 1423.732788086 50 1
292893.965 4462214.681 1455.5 51 1
292993.965 4462214.681 1476.966796875 52 1
293093.965 4462214.681 1477.440551758 53 1
293193.965 4462214.681 1476.45324707 54 1
293293.965 4462214.681 1481.949951172 55 1
293393.965 4462214.681 1489.70703125 56 1
293493.965 4462214.681 1496.722412109 57 1
293593.965 4462214.681 1504.733154297 58 1
293693.965 4462214.681 1514.757446289 59 1
293793.965 4462214.681 1525.32824707 60 1
293893.965 4462214.681 1529.939331055 61 1
293993.965 4462214.681 1536.573364258 62 1
294093.965 4462214.681 1551.486816406 63 1
294193.965 4462214.681 1567.428833008 64 1
294293.965 4462214.681 1591.437011719 65 1
