# Type: scattered data
# Version: 80
# Description: Fault 1 extracted from fault_complete.dat
# Format: free
# Field: 1 x meters
# Field: 2 y meters
# Field: 3 z meters
# Field: 4 faultid non-numeric
# Field: 5 lineid non-numeric
# Ditto: lineid
# Projection: Universal Transverse Mercator
# Zone: 11
# Units: meters
# Ellipsoid: GRS 1980/NAD83
# Zdatum_above_MSL: 0.000000
# End:
296554.85882847	4468306.8975303	1418.5728107159	""	"Map"
296624.23089172	4468081.4177589	1485.1156176987	""	"Map"
296701.75453572	4467960.2883435	1530.2508017539	""	"Map"
296791.36879463	4467928.9144287	1516.6011717422	""	"Map"
296838.32093276	4467844.5171743	1504.242074125	""	"Map"
296887.63220048	4467737.823853	1529.3096344932	""	"Map"
296902.5878295	4467629.206305	1545.1707511575	""	"Map"
296910.13278058	4467547.4435856	1569.6707644311	""	"Map"
296947.98216699	4467461.9122121	1583.0437220928	""	"Map"
296960.08540315	4467367.9444375	1585.7494784603	""	"Map"
296939.99498702	4467273.5656901	1574.5625067519	""	"Map"
296907.41071338	4467193.826077	1556.9086743752	""	"Map"
296871.52514336	4467109.7689028	1541.1178335562	""	"Map"
296877.36132343	4467029.3997732	1539.2531970953	""	"Map"
296851.21069899	4466940.0028288	1528.3445638652	""	"Map"
296834.05616161	4466889.1182384	1526.5512720703	""	"Map"
296840.16288972	4466815.3547271	1532.7703476494	""	"Map"
296853.61290279	4466728.4098836	1553.6067945354	""	"Map"
296837.1546739	4466659.6923684	1573.8158183247	""	"Map"
296835.94820354	4466571.9163692	1611.1193132096	""	"Map"
296855.38810705	4466508.465191	1629.3107479539	""	"Map"
296865.91241722	4466431.6819699	1638.111973985	""	"Map"
296868.07774869	4466367.5334826	1651.5401869644	""	"Map"
296867.25065081	4466311.9189563	1655.8867837207	""	"Map"
296856.47122174	4466251.8739	1660.6414315306	""	"Map"
296838.38501792	4466196.4121572	1663.0622241721	""	"Map"
296817.97069407	4466147.6860845	1659.3020601863	""	"Map"
296820.1852751	4466091.5369649	1655.4134538946	""	"Map"
296831.24467186	4465979.837866	1630.1887353246	""	"Map"
296854.91988497	4465866.0350368	1602.206471227	""	"Map"
296869.39048895	4465781.9586223	1583.7013304428	""	"Map"
296842.80951881	4465723.5082324	1570.836171594	""	"Map"
296829.56474187	4465642.4171263	1582.1156243413	""	"Map"
296848.50846786	4465492.4951186	1615.1182964734	""	"Map"
296831.29765642	4465383.1493954	1617.8166814595	""	"Map"
296801.86536462	4465294.9450802	1628.3459053751	""	"Map"
296781.06081524	4465252.6390272	1626.3581937964	""	"Map"
296791.64536018	4465172.2723651	1619.4959605504	""	"Map"
296781.86747506	4465074.4597005	1615.5993605018	""	"Map"
296788.89423934	4465104.8257504	1621.3847035777	""	"Map"
296760.17422588	4465003.5501778	1600.7498673363	""	"Map"
296749.38040783	4464949.390687	1584.2575192856	""	"Map"
296752.46913569	4464834.6165564	1568.0246781749	""	"Map"
296745.78438624	4464715.2631181	1564.106985893	""	"Map"
296742.81911558	4464607.1785489	1580.6691426509	""	"Map"
296734.65795311	4464529.4584409	1579.5928352527	""	"Map"
296736.51405912	4464473.9436194	1568.178288349	""	"Map"
296726.47788008	4464417.4641398	1554.1541758283	""	"Map"
296701.95041722	4464364.1429435	1565.2663871546	""	"Map"
296681.3530374	4464300.8495003	1575.0564610141	""	"Map"
296666.70509351	4464265.9227256	1575.3000365037	""	"Map"
296647.29726171	4464223.4542607	1575.5629300482	""	"Map"
296652.71584502	4464163.5768952	1567.1939775099	""	"Map"
296050.16876274	4464546.5343258	605.21987025661	""	"Map"
295803.92705311	4465198.9592838	185.75257466346	""	"Map"
295366.77102965	4466185.6079001	-515.32652519743	""	"Map"
294996.02941463	4466768.0915959	-1082.1282194341	""	"Map"
296265.690216	4468217.7925842	964.97243959881	""	"Map"
296053.84172028	4468224.3151947	657.24099711246	""	"Map"
295791.89752061	4468371.7373096	256.27689912616	""	"Map"
295544.15981307	4468299.7798591	-127.13661515585	""	"Map"
295497.585991	4466958.1923864	-240.67870962591	""	"Map"
295883.90745012	4466335.1341727	328.74624055406	""	"Map"
296255.94550986	4466250.1613487	881.72581003325	""	"Map"
296534.09780065	4466041.5870848	1289.7532268976	""	"Map"
