x,y,z,density,distance
0.0,0.0,0.0,0.0,0.3674234614174767
0.0,0.0,0.05,0.2539682686328888,0.33541019662496846
0.0,0.0,0.1,0.0,0.3082207001484488
0.0,0.0,0.15000000000000002,-0.2539682686328888,0.2872281323269014
0.0,0.0,0.2,0.0,0.2738612787525831
0.0,0.0,0.25,0.2539682686328888,0.26925824035672524
0.0,0.0,0.30000000000000004,0.0,0.23452078799117146
0.0,0.0,0.35000000000000003,-0.2539682686328888,0.20615528128088303
0.0,0.0,0.4,0.0,0.18708286933869708
0.0,0.0,0.45,0.0,0.18027756377319948
0.0,0.0,0.5,0.0,0.18708286933869708
0.0,0.0,0.55,0.0,0.20615528128088306
0.0,0.0,0.6000000000000001,0.0,0.21213203435596423
0.0,0.0,0.65,0.2539682686328888,0.18027756377319948
0.0,0.0,0.7000000000000001,0.0,0.15811388300841897
0.0,0.0,0.75,-0.2539682686328888,0.15000000000000002
0.0,0.0,0.8,0.0,0.158113883008419
0.0,0.0,0.8500000000000001,0.2539682686328888,0.18027756377319953
0.0,0.0,0.9,0.0,0.21213203435596428
0.0,0.0,0.9500000000000001,0.0,0.25000000000000006
0.0,0.05,0.0,0.1269841343164444,0.3570714214271425
0.0,0.05,0.05,0.190476194024086,0.32403703492039304
0.0,0.05,0.1,0.0,0.2958039891549808
0.0,0.05,0.15000000000000002,-0.1269841343164444,0.27386127875258304
0.0,0.05,0.2,0.2539682686328888,0.2598076211353316
0.0,0.05,0.25,0.190476194024086,0.24494897427831783
0.0,0.05,0.30000000000000004,-0.2539682686328888,0.206155281280883
0.0,0.05,0.35000000000000003,-0.1269841343164444,0.17320508075688773
0.0,0.05,0.4,0.1269841343164444,0.15000000000000002
0.0,0.05,0.45,0.0634920671582222,0.14142135623730953
0.0,0.05,0.5,0.0,0.15000000000000002
0.0,0.05,0.55,0.0634920671582222,0.17320508075688776
0.0,0.05,0.6000000000000001,0.1269841343164444,0.2061552812808831
0.0,0.05,0.65,0.2539682686328888,0.18708286933869708
0.0,0.05,0.7000000000000001,0.2539682686328888,0.16583123951777
0.0,0.05,0.75,0.0634920671582222,0.158113883008419
0.0,0.05,0.8,0.1269841343164444,0.16583123951777004
0.0,0.05,0.8500000000000001,0.2539682686328888,0.18708286933869714
0.0,0.05,0.9,0.0,0.21794494717703372
0.0,0.05,0.9500000000000001,-0.0634920671582222,0.25495097567963926
0.0,0.1,0.0,0.0,0.3535533905932738
0.0,0.1,0.05,0.0,0.32015621187164245
0.0,0.1,0.1,0.0,0.291547594742265
0.0,0.1,0.15000000000000002,-0.2539682686328888,0.2692582403567252
0.0,0.1,0.2,0.0,0.25495097567963926
0.0,0.1,0.25,0.1269841343164444,0.22912878474779202
0.0,0.1,0.30000000000000004,0.0,0.18708286933869703
0.0,0.1,0.35000000000000003,0.1269841343164444,0.15
0.0,0.1,0.4,0.0,0.12247448713915891
0.0,0.1,0.45,0.0,0.11180339887498951
0.0,0.1,0.5,0.0,0.12247448713915891
0.0,0.1,0.55,0.0,0.15000000000000005
0.0,0.1,0.6000000000000001,0.0,0.18708286933869714
0.0,0.1,0.65,-0.1269841343164444,0.20615528128088303
0.0,0.1,0.7000000000000001,0.0,0.18708286933869706
0.0,0.1,0.75,0.0,0.16583123951777
0.0,0.1,0.8,0.0,0.15811388300841897
0.0,0.1,0.8500000000000001,0.1269841343164444,0.16583123951777
0.0,0.1,0.9,0.0,0.18708286933869706
