x,y,z,density,distance
0.0,0.0,0.0,0.0,0.07071067811865477
0.0,0.0,0.05,0.032586026936769485,0.05
0.0,0.0,0.1,0.06183289736509323,-0.05
0.0,0.0,0.15000000000000002,0.08244570344686508,-0.10000000000000002
0.0,0.0,0.2,0.09786684066057205,-0.15000000000000002
0.0,0.0,0.25,0.11239533126354218,-0.10000000000000003
0.0,0.0,0.30000000000000004,0.1328386813402176,-0.04999999999999999
0.0,0.0,0.35000000000000003,0.15104706585407257,0.04999999999999999
0.0,0.0,0.4,0.16226021945476532,0.09999999999999998
0.0,0.0,0.45,0.16406115889549255,0.14999999999999997
0.0,0.0,0.5,0.16921193897724152,0.19999999999999996
0.0,0.0,0.55,0.179806649684906,0.25
0.0,0.0,0.6000000000000001,0.20008115470409393,0.30000000000000004
0.0,0.0,0.65,0.2181566208600998,0.35
0.0,0.0,0.7000000000000001,0.2285694032907486,0.4
0.0,0.0,0.75,0.2348192185163498,0.4472135954999579
0.0,0.0,0.8,0.24106653034687042,0.49244289008980524
0.0,0.0,0.8500000000000001,0.23677659034729004,0.5385164807134505
0.0,0.0,0.9,0.22908203303813934,0.5852349955359812
0.0,0.0,0.9500000000000001,0.23123303055763245,0.632455532033676
0.0,0.05,0.0,0.0032653913367539644,0.07071067811865477
0.0,0.05,0.05,0.033499576151371,0.05
0.0,0.05,0.1,0.06179116293787956,-0.05
0.0,0.05,0.15000000000000002,0.08256890624761581,-0.10000000000000002
0.0,0.05,0.2,0.09873771667480469,-0.15000000000000002
0.0,0.05,0.25,0.11664461344480515,-0.10000000000000003
0.0,0.05,0.30000000000000004,0.1390240341424942,-0.04999999999999999
0.0,0.05,0.35000000000000003,0.15595479309558868,0.04999999999999999
0.0,0.05,0.4,0.16087618470191956,0.09999999999999998
0.0,0.05,0.45,0.1599610298871994,0.14999999999999997
0.0,0.05,0.5,0.1684359610080719,0.19999999999999996
0.0,0.05,0.55,0.18669258058071136,0.25
0.0,0.05,0.6000000000000001,0.21063534915447235,0.2915475947422651
0.0,0.05,0.65,0.22708255052566528,0.33541019662496846
0.0,0.05,0.7000000000000001,0.23537395894527435,0.38078865529319544
0.0,0.05,0.75,0.23814156651496887,0.42720018726587655
0.0,0.05,0.8,0.23966513574123383,0.47434164902525694
0.0,0.05,0.8500000000000001,0.2349787801504135,0.5220153254455275
0.0,0.05,0.9,0.23004798591136932,0.570087712549569
0.0,0.05,0.9500000000000001,0.232004314661026,0.6184658438426491
0.0,0.1,0.0,0.010801462456583977,0.07071067811865477
